INFO 2023-05-26 22:50:38,215 basehttp 179 "GET /static/index.html HTTP/1.1" 200 28828
INFO 2023-05-26 22:50:38,285 basehttp 179 "GET /static/plugins/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 88585
INFO 2023-05-26 22:50:38,289 basehttp 179 "GET /static/dist/css/BSA.css HTTP/1.1" 200 20169
INFO 2023-05-26 22:50:38,291 basehttp 179 "GET /static/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 163873
INFO 2023-05-26 22:50:38,320 basehttp 179 "GET /static/dist/img/logo-icon.png HTTP/1.1" 200 2065
INFO 2023-05-26 22:50:38,336 basehttp 179 "GET /static/dist/js/BSA.js HTTP/1.1" 200 24803
INFO 2023-05-26 22:50:38,338 basehttp 179 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78129
INFO 2023-05-26 22:50:38,362 basehttp 179 "GET /static/plugins/bootstrap-icons/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf HTTP/1.1" 200 112440
INFO 2023-05-26 22:50:38,619 basehttp 179 "GET /home_page HTTP/1.1" 301 0
INFO 2023-05-26 22:50:38,653 basehttp 179 "GET /home_page/ HTTP/1.1" 200 21488
INFO 2023-05-26 22:50:38,782 basehttp 179 "GET /static/css/bootstrap.min.css HTTP/1.1" 200 194901
INFO 2023-05-26 22:50:38,821 basehttp 179 "GET /static/dist/css/BSA.css HTTP/1.1" 200 20169
INFO 2023-05-26 22:50:38,824 basehttp 179 "GET /static/js/axios-0.18.0.js HTTP/1.1" 200 12912
INFO 2023-05-26 22:50:38,826 basehttp 179 "GET /static/js/bootstrap.min.js HTTP/1.1" 200 60404
INFO 2023-05-26 22:50:38,832 basehttp 179 "GET /static/plugins/chart.js/chart.min.js HTTP/1.1" 200 197005
INFO 2023-05-26 22:50:38,835 basehttp 179 "GET /static/js/vue.js HTTP/1.1" 200 408232
INFO 2023-05-26 22:50:38,858 basehttp 179 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78129
INFO 2023-05-26 22:50:38,914 basehttp 179 "GET /static/dist/js/BSA.js HTTP/1.1" 200 24803
INFO 2023-05-26 22:50:39,564 basehttp 179 "GET /static/plugins/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 451427
INFO 2023-05-26 22:50:39,586 basehttp 179 "GET /static/css/bootstrap.min.css.map HTTP/1.1" 200 522639
INFO 2023-05-26 22:50:39,954 basehttp 179 "GET /static/dist/js/BSA.js.map HTTP/1.1" 200 80969
INFO 2023-05-26 22:50:39,955 basehttp 179 "GET /static/dist/js/BSA.js.map HTTP/1.1" 200 80969
INFO 2023-05-26 22:50:39,960 basehttp 179 "GET /static/js/bootstrap.min.js.map HTTP/1.1" 200 216913
INFO 2023-05-26 22:50:39,963 basehttp 179 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 331017
INFO 2023-05-26 22:50:39,965 basehttp 179 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 331017
INFO 2023-05-26 22:50:40,853 basehttp 179 "GET /static/dist/img/favicon-32x32.png HTTP/1.1" 200 513
INFO 2023-05-26 22:50:51,063 basehttp 179 "GET /static/index.html HTTP/1.1" 200 28828
INFO 2023-05-26 22:50:51,390 basehttp 179 "GET /static/plugins/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 88585
INFO 2023-05-26 22:50:51,404 basehttp 179 "GET /static/dist/css/BSA.css HTTP/1.1" 200 20169
INFO 2023-05-26 22:50:51,406 basehttp 179 "GET /static/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 163873
INFO 2023-05-26 22:50:51,420 basehttp 179 "GET /static/dist/img/logo-icon.png HTTP/1.1" 200 2065
INFO 2023-05-26 22:50:51,421 basehttp 179 "GET /static/dist/js/BSA.js HTTP/1.1" 200 24803
INFO 2023-05-26 22:50:51,425 basehttp 179 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78129
INFO 2023-05-26 22:50:51,469 basehttp 179 "GET /static/plugins/bootstrap-icons/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf HTTP/1.1" 200 112440
INFO 2023-05-26 22:50:51,507 basehttp 179 "GET /home_page HTTP/1.1" 301 0
INFO 2023-05-26 22:50:51,535 basehttp 179 "GET /home_page/ HTTP/1.1" 200 21464
INFO 2023-05-26 22:50:51,616 basehttp 179 "GET /static/dist/css/BSA.css HTTP/1.1" 200 20169
INFO 2023-05-26 22:50:51,617 basehttp 179 "GET /static/js/axios-0.18.0.js HTTP/1.1" 200 12912
INFO 2023-05-26 22:50:51,619 basehttp 179 "GET /static/js/bootstrap.min.js HTTP/1.1" 200 60404
INFO 2023-05-26 22:50:51,623 basehttp 179 "GET /static/plugins/chart.js/chart.min.js HTTP/1.1" 200 197005
INFO 2023-05-26 22:50:51,626 basehttp 179 "GET /static/css/bootstrap.min.css HTTP/1.1" 200 194901
INFO 2023-05-26 22:50:51,628 basehttp 179 "GET /static/js/vue.js HTTP/1.1" 200 408232
INFO 2023-05-26 22:50:51,669 basehttp 179 "GET /static/dist/js/BSA.js HTTP/1.1" 200 24803
INFO 2023-05-26 22:50:51,671 basehttp 179 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78129
INFO 2023-05-26 22:50:52,075 basehttp 179 "GET /static/dist/img/favicon-32x32.png HTTP/1.1" 200 513
INFO 2023-05-26 22:50:52,517 basehttp 179 "GET /static/plugins/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 451427
INFO 2023-05-26 22:50:52,555 basehttp 179 "GET /static/css/bootstrap.min.css.map HTTP/1.1" 200 522639
INFO 2023-05-26 22:50:52,856 basehttp 179 "GET /static/dist/js/BSA.js.map HTTP/1.1" 200 80969
INFO 2023-05-26 22:50:52,860 basehttp 179 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 331017
INFO 2023-05-26 22:50:52,932 basehttp 179 "GET /static/js/bootstrap.min.js.map HTTP/1.1" 200 216913
INFO 2023-05-26 22:50:52,947 basehttp 179 "GET /static/dist/js/BSA.js.map HTTP/1.1" 200 80969
INFO 2023-05-26 22:50:52,950 basehttp 179 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 331017
INFO 2023-05-26 22:50:58,708 basehttp 179 "GET /static/index.html HTTP/1.1" 200 28828
INFO 2023-05-26 22:50:59,042 basehttp 179 "GET /static/dist/img/logo-icon.png HTTP/1.1" 200 2065
INFO 2023-05-26 22:50:59,043 basehttp 179 "GET /static/dist/css/BSA.css HTTP/1.1" 200 20169
INFO 2023-05-26 22:50:59,044 basehttp 179 "GET /static/dist/js/BSA.js HTTP/1.1" 200 24803
INFO 2023-05-26 22:50:59,045 basehttp 179 "GET /static/plugins/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 88585
INFO 2023-05-26 22:50:59,048 basehttp 179 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78129
INFO 2023-05-26 22:50:59,049 basehttp 179 "GET /static/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 163873
INFO 2023-05-26 22:50:59,090 basehttp 179 "GET /static/plugins/bootstrap-icons/fonts/bootstrap-icons.woff2?8d200481aa7f02a2d63a331fc782cfaf HTTP/1.1" 200 112440
INFO 2023-05-26 22:50:59,110 basehttp 179 "GET /home_page HTTP/1.1" 301 0
INFO 2023-05-26 22:50:59,132 basehttp 179 "GET /home_page/ HTTP/1.1" 200 21491
INFO 2023-05-26 22:50:59,164 basehttp 179 "GET /static/dist/css/BSA.css HTTP/1.1" 200 20169
INFO 2023-05-26 22:50:59,167 basehttp 179 "GET /static/css/bootstrap.min.css HTTP/1.1" 200 194901
INFO 2023-05-26 22:50:59,210 basehttp 179 "GET /static/js/axios-0.18.0.js HTTP/1.1" 200 12912
INFO 2023-05-26 22:50:59,211 basehttp 179 "GET /static/dist/js/BSA.js HTTP/1.1" 200 24803
INFO 2023-05-26 22:50:59,213 basehttp 179 "GET /static/js/bootstrap.min.js HTTP/1.1" 200 60404
